Name,Link,Title,Blurb
Charles M Rosson,https://www.bizjournals.com//houston/potmsearch/detail/submission/6488386/Charles_M_Rosson?l=&time=&ind=86&type=&ro=0,Partner at Gibbs & Bruns LLP,"Charles Rosson devotes his practice to complex commercial litigation disputes, representing both plaintiffs and defendants in state and federal court and in domestic and international arbitrations.  Charles’ experience includes antitrust, breach of contract, transnational law, and energy matters.  

Charles joined Gibbs & Bruns in 2017 after beginning his litigation career with Vinson & Elkins, LLP in Houston.  Charles was a judicial intern to the Honorable Jennifer Coffman, Chief Judge of the U"
Michael Hamilton,https://www.bizjournals.com//houston/potmsearch/detail/submission/6487947/Michael_Hamilton?l=&time=&ind=86&type=&ro=1,Partner at King & Spalding LLP,"Michael Hamilton represents public and private companies in a broad range of corporate and transactional matters, including capital markets transactions, U.S. Securities and Exchange Commission reporting obligations, governance matters and mergers & acquisitions. Michael also represents borrowers and lenders in connection with domestic and cross border commercial loan, asset based and subordinated loan facilities."
Jonathan Newton,https://www.bizjournals.com//houston/potmsearch/detail/submission/6486774/Jonathan_Newton?l=&time=&ind=86&type=&ro=2,Partner at King & Spalding LLP,"King & Spalding has added Jonathan B. Newton, a corporate and securities partner in Houston. Newton’s practice focuses on energy M&A and capital markets transactions. He has extensive experience in SEC reporting and corporate governance advice; convertible and straight equity and debt offerings; c-suite / board of directors advice, internal corporate restructurings; venture capital financings; and joint ventures; with an emphasis on domestic and complex cross-border transactions."
John Farrell,https://www.bizjournals.com//houston/potmsearch/detail/submission/6485908/John_Farrell?l=&time=&ind=86&type=&ro=3,Partner at Arcadi Jackson LLP,"John Farrell has more than 13 years of legal experience and is Board Certified in Labor and Employment Law. He counsels and advises employers in a full range of legal and business issues including employee discipline and termination, pay structures, employment contracts, internal investigations and compliance with labor and employment laws."
Connie Pfeiffer,https://www.bizjournals.com//houston/potmsearch/detail/submission/6485383/Connie_Pfeiffer?l=&time=&ind=86&type=&ro=4,Partner at Yetter Coleman LLP,"Connie Pfeiffer has joined Yetter Coleman as a partner and leader of the firm's appellate team. Recognized as one of the top appellate lawyers in Texas by Chambers USA, Best Lawyers in America, and Texas Super Lawyers, Connie is a board-certified appellate specialist who focuses her practice on representing plaintiffs and defendants in business disputes, legal malpractice and fiduciary claims, personal injury, statutory, and procedural issues."
Kathlyn Hufstetler,https://www.bizjournals.com//houston/potmsearch/detail/submission/6484831/Kathlyn_Hufstetler?l=&time=&ind=86&type=&ro=5,Senior Associate Attorney at Patel | Gaines,"Not only does Kathlyn litigate commercial property taxes statewide, but she also spearheads the growth of Patel Gaines’ Houston office. Her attention to detail and ability to manage high volume property tax litigation matters has prepared her to take on a number of different commercial property tax cases. Daily Kathlyn aims to break the barriers of typical law firms by striving for creativity with every case she leads. Learn more about Kathlyn at www.linkedin.com/in/kathlyn-hufstetler-03bb32bb/."
Sammy Ford IV,https://www.bizjournals.com//houston/potmsearch/detail/submission/6484791/Sammy_Ford_IV?l=&time=&ind=86&type=&ro=6,Partner at AZA Law Firm,"A highly acclaimed lawyer, Mr. Ford has tried more than two dozen cases before judges, juries and arbitrators around the United States. He has successfully represented businesses and individuals, both plaintiffs and defendants, in a wide range of civil litigation including in cases worth more than $40 million. Mr. Ford is board certified in Personal Injury Trial Law by the Texas Board of Legal Specialization. He was named among The National Trial Lawyers Association’s “Top 40 under 40.”"
Colleen Migl,https://www.bizjournals.com//houston/potmsearch/detail/submission/6483205/Colleen_Migl?l=&time=&ind=86&type=&ro=7,Shareholder at Kilmer Crosby & Quadros,"Colleen Migl, who will be working out of the firm’s Houston office, will be leading the corporate department. She focuses her practice on mergers and acquisitions, private equity, financing transactions, taxation matters, and other general corporate matters."
Brooks Tueting,https://www.bizjournals.com//houston/potmsearch/detail/submission/6482879/Brooks_Tueting?l=&time=&ind=86&type=&ro=8,partner at Patterson + Sheridan LLP,"Intellectual property and complex litigation law firm Patterson + Sheridan LLP, has promoted Brooks Tueting to partner in the firm’s Houston office. Tueting focuses on providing patent preparation and prosecution services, litigation support, and portfolio analysis for clients in industries ranging from semiconductors to software and energy to agriculture. Tueting joined the firm as an associate immediately following graduation from the University of Wyoming College of Law.  Patterson + Sheridan is an intellectual property and technology law firm with 80 attorneys located in seven offices in Texas, California, North Carolina, and New Jersey. The firm offers a broad range of services, including preparing and prosecuting patent applications; complex litigation, including IP, business, and criminal litigation; post-grant proceedings and actions; and providing counseling and strategic insight to clients in a wide variety of industries. The firm celebrated its 20th anniversary in 2016."
Edward Ed L Ripley,https://www.bizjournals.com//houston/potmsearch/detail/submission/6482828/Edward_Ed_L_Ripley?l=&time=&ind=86&type=&ro=9,Shareholder at Andrews Myers,"Edward (Ed) L. Ripley, joins Andrews Myers as a shareholder in its restructuring and bankruptcy & creditors’ rights team.  Ed has over 30 years restructuring experience including some of the largest bankruptcy cases in Texas and the US. He joins the firm after 13 years at King & Spalding.  Ed has extensive experience in energy, real estate, construction, hospitality and retail, representing debtors, creditors, contract-counterparties and entities looking at distressed acquisition."
Stephanie McGraw,https://www.bizjournals.com//houston/potmsearch/detail/submission/6482625/Stephanie_McGraw?l=&time=&ind=86&type=&ro=10,"Partner at Shook, Hardy & Bacon L.L.P.","Shook, Hardy & Bacon is pleased to announce that Stephanie McGraw has been promoted to partner effective March 1, 2020. Stephanie focuses her practice on complex product liability, commercial, and business litigation. She represents major U.S. and international corporations and individual clients in all phases of the litigation process, and has often taken the lead in the management of complex, national cases.  She received her J.D. cum laude, Suffolk University Law School."
